"Rowid_","VALUE_","COUNT_"
,0,5098846
,1,1876307
,2,1985970
,3,1550105
,4,1059435
,5,794944
,6,630149
,7,495260
,8,392751
,9,344107
,10,305937
,11,279528
,12,259931
,13,253889
,14,245085
,15,234181
,16,227482
,17,224978
,18,221739
,19,212914
,20,202149
,21,191245
,22,183095
,23,173219
,24,163299
,25,156517
,26,150291
,27,147174
,28,143170
,29,137538
,30,133575
,31,129779
,32,126580
,33,122883
,34,121169
,35,116915
,36,114670
,37,112037
,38,109613
,39,106465
,40,103944
,41,100570
,42,98097
,43,94875
,44,93207
,45,90313
,46,88803
,47,86068
,48,84639
,49,82595
,50,80259
,51,79033
,52,77326
,53,75154
,54,73882
,55,71694
,56,70572
,57,68533
,58,67666
,59,66513
,60,64552
,61,63453
,62,62497
,63,61059
,64,59484
,65,57900
,66,56933
,67,55626
,68,55201
,69,53306
,70,52544
,71,51490
,72,50378
,73,49081
,74,48659
,75,47647
,76,46371
,77,45667
,78,44458
,79,43272
,80,43035
,81,42000
,82,41182
,83,39932
,84,38822
,85,38211
,86,38123
,87,37066
,88,36061
,89,35836
,90,34881
,91,34054
,92,34068
,93,33489
,94,33289
,95,32314
,96,31653
,97,31131
,98,30533
,99,30464
,100,30053
,101,29740
,102,29438
,103,28971
,104,28241
,105,28051
,106,27340
,107,26900
,108,26499
,109,26390
,110,25833
,111,25587
,112,25427
,113,25170
,114,24483
,115,24769
,116,24092
,117,24042
,118,23269
,119,23346
,120,22819
,121,22394
,122,22110
,123,22011
,124,21699
,125,21296
,126,21083
,127,20903
,128,20513
,129,20227
,130,19906
,131,19733
,132,19501
,133,19275
,134,18674
,135,18742
,136,18607
,137,18176
,138,17945
,139,17999
,140,17416
,141,17290
,142,17095
,143,17078
,144,16829
,145,16797
,146,16632
,147,16543
,148,16127
,149,15994
,150,15657
,151,15332
,152,15517
,153,15233
,154,15287
,155,15077
,156,14811
,157,14899
,158,14878
,159,14443
,160,14310
,161,14211
,162,14380
,163,13888
,164,14032
,165,13887
,166,13649
,167,13748
,168,13457
,169,13302
,170,13118
,171,13031
,172,13055
,173,13167
,174,12905
,175,13014
,176,13141
,177,13035
,178,12376
,179,12277
,180,12203
,181,12105
,182,11846
,183,11889
