"Rowid_","VALUE_","COUNT_"
,0,17873722
,1,10323344
,2,12359875
,3,6634748
,4,3563361
,5,2907298
,6,2455206
,7,2055111
,8,1761115
,9,1559227
,10,1402344
,11,1302720
,12,1200623
,13,1120541
,14,1080719
,15,1048513
,16,1045144
,17,1049505
,18,1043220
,19,1009217
,20,955790
,21,901661
,22,850942
,23,803561
,24,765346
,25,737881
,26,715015
,27,694644
,28,675773
,29,658058
,30,643677
,31,627992
,32,615376
,33,601035
,34,584577
,35,571502
,36,557603
,37,541429
,38,527077
,39,512822
,40,499407
,41,487082
,42,474492
,43,459696
,44,448536
,45,438429
,46,428911
,47,418520
,48,408910
,49,402153
,50,394740
,51,389530
,52,379966
,53,374408
,54,367531
,55,361693
,56,354597
,57,348300
,58,342821
,59,337234
,60,333296
,61,325373
,62,321565
,63,315989
,64,309727
,65,304882
,66,300857
,67,297416
,68,292494
,69,287683
,70,283400
,71,279314
,72,276809
,73,272366
,74,268119
,75,265022
,76,261048
,77,257615
,78,253676
,79,249472
,80,246610
,81,242094
,82,239979
,83,234903
,84,232676
,85,229800
,86,225494
,87,220968
,88,219131
,89,215549
,90,213761
,91,209592
,92,207660
,93,205298
,94,202964
,95,199664
,96,196736
,97,195638
,98,193605
,99,189792
,100,188710
,101,186127
,102,184874
,103,181562
,104,179693
,105,178087
,106,175917
,107,173714
,108,173294
,109,170727
,110,168906
,111,166877
,112,164730
,113,163545
,114,162023
,115,161718
,116,158159
,117,157745
,118,154664
,119,153538
,120,152908
,121,150002
,122,149561
,123,147106
,124,145482
,125,143288
,126,142407
,127,142133
,128,139648
,129,139116
,130,137960
,131,136294
,132,135103
,133,134062
,134,133069
,135,131850
,136,130941
,137,129482
,138,128136
,139,126585
,140,125693
,141,124416
,142,123667
,143,122485
,144,121319
,145,121096
,146,119400
,147,118419
,148,117613
,149,116246
,150,115499
,151,114542
,152,113833
,153,113667
,154,112798
,155,111281
,156,110491
,157,110680
,158,109159
,159,109258
,160,108200
,161,107480
,162,107573
,163,105984
,164,104654
,165,104027
,166,103939
,167,102440
,168,102297
,169,101347
,170,100735
,171,100138
,172,100971
,173,99196
,174,99132
,175,99113
,176,97895
,177,97412
,178,96791
,179,96320
,180,95649
,181,94875
,182,94580
,183,93850
,184,92808
,185,92702
,186,91800
,187,90746
,188,90302
,189,90378
,190,90350
,191,88980
,192,88571
,193,88222
,194,87579
,195,87147
,196,85988
,197,85415
,198,85590
,199,85225
,200,84642
,201,83505
,202,83739
,203,82669
,204,82338
,205,82463
,206,81177
,207,80943
,208,80641
,209,80002
,210,79633
,211,79684
,212,78687
,213,77975
,214,76939
,215,77458
,216,76503
,217,76365
,218,75789
,219,74883
,220,74831
,221,73959
,222,74294
,223,73416
,224,73128
,225,73032
,226,71891
,227,71972
,228,71291
,229,71262
,230,70760
,231,70711
,232,70257
,233,69506
,234,69889
,235,69628
,236,68719
,237,68304
,238,68441
,239,68022
,240,68369
,241,67051
,242,66932
,243,66605
,244,66585
,245,66516
,246,66152
,247,65705
,248,65723
,249,64797
,250,129429
,252,128651
,254,63891
,255,64090
,256,63257
,257,63211
,258,62902
,259,62781
,260,62770
,261,61941
,262,61976
,263,61817
,264,61044
,265,61536
,266,61183
,267,60979
,268,60619
,269,60663
,270,60167
,271,59922
,272,60219
,273,59958
,274,59374
,275,59291
,276,59365
,277,59383
,278,59106
,279,58812
,280,59363
,281,58279
,282,58413
,283,58393
,284,57770
,285,57685
,286,57337
,287,57304
,288,57593
,289,56984
,290,56443
,291,56203
,292,56832
,293,56311
,294,55948
,295,56011
,296,55728
,297,55960
,298,55637
,299,55304
,300,55775
,301,55561
,302,55650
,303,55646
,304,55018
,305,54826
,306,54323
,307,55116
,308,54970
,309,54469
,310,54703
,311,54329
,312,55110
,313,54256
,314,54467
,315,54817
,316,54516
,317,54392
,318,54101
,319,54344
,320,54470
,321,53898
,322,53724
,323,54204
,324,53603
,325,53866
,326,53345
,327,53616
,328,53643
,329,53194
,330,54255
,331,54040
,332,53703
,333,53908
,334,53402
,335,54108
,336,53440
,337,53279
,338,53377
,339,53269
,340,54094
,341,53390
,342,53653
,343,53359
,344,53715
,345,53698
,346,53839
,347,54153
,348,54116
,349,54154
,350,54089
,351,53912
,352,54447
,353,53815
,354,54727
,355,54541
,356,54110
,357,53917
,358,54289
,359,53929
,360,54453
,361,54327
,362,54333
,363,54359
,364,54427
,365,54904
,366,55040
,367,54595
,368,54763
,369,54914
,370,55594
,371,55126
,372,55400
,373,55162
,374,54896
,375,55405
,376,55836
,377,55435
,378,55357
,379,55216
,380,55506
,381,55778
,382,55984
,383,55710
,384,55403
,385,55917
,386,56119
,387,56027
,388,56391
,389,55996
,390,56923
,391,56498
,392,56630
,393,56765
,394,57002
,395,57047
,396,57189
,397,57282
,398,57038
,399,57176
,400,58085
,401,57616
,402,58005
,403,58047
,404,58055
,405,58608
,406,58051
,407,58083
,408,58600
,409,58408
,410,58657
,411,58574
,412,58363
,413,58601
,414,59098
,415,59184
,416,59399
,417,59741
,418,59563
,419,59512
,420,59750
,421,59928
,422,60116
,423,60160
,424,60540
,425,60486
,426,59717
,427,60087
,428,60231
,429,61006
,430,60698
,431,61159
,432,61430
,433,60959
,434,61774
,435,61432
,436,61667
,437,61940
,438,62041
,439,62281
,440,62507
,441,61915
,442,62604
,443,62161
,444,62827
,445,63034
,446,62945
,447,62763
,448,62605
,449,63145
,450,63125
,451,62539
,452,63025
,453,62431
,454,62600
,455,63022
,456,62521
,457,62636
,458,62443
,459,62490
,460,62727
,461,62870
,462,63030
,463,62948
,464,63311
,465,63252
,466,63298
,467,63589
,468,63355
,469,63654
,470,64099
,471,63694
,472,63651
,473,63847
,474,64048
,475,64062
,476,63644
,477,64032
,478,63534
,479,63710
,480,63227
,481,62991
,482,63699
,483,62992
,484,63668
,485,63562
,486,63194
,487,63397
,488,62987
,489,62502
,490,62723
,491,62498
,492,62669
,493,63048
,494,62555
,495,62541
,496,62055
,497,63210
,498,62612
,499,62982
,500,63270
,501,124941
,503,61958
,504,61737
,505,124028
,507,61617
,508,61684
,509,61583
,510,123413
,512,61628
,513,61093
,514,60637
,515,61557
,516,60567
,517,61242
,518,61930
,519,61785
,520,61725
,521,62090
,522,61965
,523,61477
,524,61208
,525,61120
,526,61156
,527,61266
,528,61288
,529,61177
,530,61377
,531,61332
,532,61205
,533,61501
,534,61668
,535,61655
,536,61873
,537,61935
,538,62420
,539,61792
,540,61905
,541,62101
,542,62250
,543,62283
,544,62245
,545,62117
,546,62731
,547,63418
,548,63255
,549,63560
,550,64111
,551,63971
,552,63645
,553,63487
,554,63743
,555,64394
,556,64113
,557,64223
,558,64849
,559,64259
,560,65277
,561,65149
,562,65487
,563,65302
,564,64744
,565,65785
,566,65481
,567,66288
,568,65817
,569,66411
,570,66584
,571,66145
,572,66506
,573,65892
,574,65837
,575,66099
,576,65056
,577,64993
,578,65414
,579,65492
,580,65937
,581,64901
,582,65673
,583,65261
,584,65081
,585,65520
,586,65621
,587,66079
,588,65804
,589,66187
,590,67032
,591,66207
,592,66383
,593,66298
,594,66229
,595,66233
,596,66121
,597,66821
,598,66796
,599,66863
,600,66389
,601,66890
,602,67117
,603,66744
,604,65970
,605,66900
,606,65631
,607,65737
,608,65258
,609,64989
,610,64470
,611,63529
,612,64193
,613,63159
,614,62454
,615,62452
,616,61558
,617,61235
,618,60775
,619,60246
,620,59789
,621,59436
,622,58555
,623,58282
,624,57231
,625,56513
,626,55410
,627,55083
,628,54184
,629,52970
,630,52939
,631,51852
,632,51295
,633,50204
,634,49555
,635,49310
,636,48558
,637,47821
,638,46773
,639,46332
,640,45778
,641,44539
,642,44690
,643,43594
,644,43125
,645,43166
,646,42017
,647,41902
,648,40974
,649,40712
,650,40237
,651,39967
,652,39894
,653,39449
,654,39183
,655,39155
,656,38360
,657,38144
,658,38139
,659,37533
,660,37543
,661,37158
,662,36530
,663,36480
,664,36424
,665,36333
,666,35234
,667,35290
,668,34785
,669,34125
,670,34339
,671,33970
,672,33682
,673,32998
,674,33010
,675,32578
,676,32188
,677,31813
,678,31543
,679,31069
,680,31217
,681,31039
,682,30686
,683,30286
,684,30183
,685,30315
,686,30127
,687,29956
,688,29488
,689,29598
,690,30004
,691,29489
,692,29768
,693,29518
,694,29301
,695,29444
,696,29514
,697,29380
,698,29128
,699,29150
,700,29351
,701,29229
,702,29417
,703,29404
,704,29188
,705,29355
,706,29674
,707,29674
,708,29499
,709,29738
,710,30079
,711,29544
,712,30092
,713,30135
,714,30036
,715,30434
,716,30393
,717,30377
,718,30170
,719,30229
,720,30352
,721,30198
,722,30573
,723,30326
,724,30339
,725,30176
,726,30517
,727,30520
,728,30362
,729,30023
,730,30547
,731,29901
,732,30326
,733,30446
,734,29909
,735,30586
,736,30178
,737,30232
,738,29915
,739,29914
,740,30269
,741,29727
,742,29774
,743,29425
,744,29348
,745,29431
,746,29234
,747,29511
,748,29036
,749,28510
,750,29059
,751,28653
,752,28654
,753,28714
,754,28526
,755,28532
,756,28393
,757,28278
,758,28408
,759,28104
,760,28292
,761,27881
,762,28384
,763,28270
,764,28310
,765,28183
,766,28155
,767,28250
,768,28134
,769,28251
,770,28430
,771,27868
,772,28019
,773,27664
,774,28047
,775,28191
,776,27920
,777,28463
,778,28176
,779,28369
,780,28625
,781,28567
,782,28245
,783,28161
,784,27944
,785,28329
,786,27846
,787,27929
