"Rowid_","VALUE_","COUNT_"
,0,3103550
,1,592720
,2,261223
,3,216258
,4,198569
,5,194184
,6,170418
,7,146413
,8,153327
,9,206803
,10,260937
,11,307503
,12,345844
,13,339658
,14,320845
,15,309631
,16,304439
,17,283720
,18,259456
,19,241797
,20,221328
,21,202684
,22,183887
,23,167705
,24,151248
,25,139037
,26,129180
,27,121680
,28,117209
,29,112646
,30,106965
,31,103497
,32,99252
,33,95041
,34,95286
,35,90043
,36,90353
,37,86698
,38,82736
,39,82489
,40,79441
,41,79092
,42,75847
,43,73131
,44,71665
,45,70318
,46,68423
,47,67798
,48,66160
,49,66133
,50,65224
,51,65423
,52,64605
,53,63728
,54,63666
,55,62436
,56,62281
,57,61812
,58,60496
,59,59889
,60,59629
,61,57575
,62,56658
,63,55877
,64,55146
,65,54466
,66,53088
,67,52638
,68,51863
,69,51122
,70,50910
,71,50878
,72,49740
,73,48870
,74,47925
,75,47683
,76,46945
,77,46839
,78,45894
,79,46534
,80,45933
,81,45061
,82,44667
,83,43960
,84,43520
,85,42194
,86,41334
,87,41239
,88,40424
,89,39722
,90,39946
,91,37822
,92,37420
,93,36837
,94,36223
,95,35582
,96,35372
,97,36084
,98,35052
,99,34580
,100,34267
,101,33606
,102,34008
,103,33374
,104,32705
,105,33100
,106,32812
,107,32290
,108,31648
,109,31223
,110,30564
,111,30261
,112,30118
,113,29555
,114,29506
,115,29570
,116,29228
,117,29135
,118,29336
,119,28967
,120,28987
,121,28777
,122,28194
,123,28287
,124,28549
,125,28452
,126,29045
,127,28739
,128,28388
,129,28846
,130,28366
,131,28401
,132,28387
,133,28060
,134,28165
,135,28292
,136,28277
,137,28245
,138,27974
,139,28099
,140,27693
,141,27566
,142,28085
,143,27682
,144,27380
,145,27396
,146,27613
,147,27865
,148,27325
,149,27506
,150,27444
,151,27332
,152,27469
,153,27471
,154,27302
,155,27205
,156,27039
,157,27100
,158,27240
,159,27114
,160,27024
,161,27236
,162,27446
,163,27169
,164,26715
,165,26860
,166,26700
,167,26531
,168,26922
,169,27694
,170,27625
,171,27409
,172,28180
,173,27802
,174,27007
,175,26788
,176,27137
,177,26734
,178,26115
,179,25202
,180,25563
,181,24643
,182,24663
,183,24541
,184,24420
,185,24231
,186,24119
,187,23823
,188,23698
,189,23956
,190,23459
,191,23516
,192,23361
,193,23284
,194,23237
,195,23169
,196,22897
,197,22987
,198,22362
,199,22144
,200,21920
,201,22042
,202,22113
,203,21992
,204,21981
,205,21365
,206,22018
,207,21514
,208,21280
,209,21167
,210,21236
,211,20708
,212,20770
,213,20350
,214,20206
,215,20319
,216,20254
,217,20051
,218,19926
,219,19978
,220,19883
,221,19921
,222,19825
,223,19858
,224,19704
,225,19425
,226,19680
,227,19623
,228,19251
,229,19759
,230,19804
,231,19661
,232,19623
,233,19516
,234,19805
,235,19588
,236,19258
,237,19562
,238,19176
,239,19144
,240,19425
,241,19456
,242,19349
,243,19247
,244,19089
,245,19107
,246,19175
,247,18952
,248,18837
,249,18785
,250,37490
,252,37366
,254,18625
,255,18479
,256,18230
,257,18373
,258,18457
,259,18270
,260,18181
,261,18470
,262,18286
,263,18094
,264,17908
,265,18269
,266,18086
,267,18344
,268,18021
,269,18167
,270,18062
,271,18045
,272,17978
,273,18129
,274,17963
,275,18193
,276,18114
,277,17817
,278,17972
,279,18188
,280,17963
,281,17920
,282,17794
,283,18302
,284,18055
,285,17907
,286,18374
,287,17756
,288,17963
,289,17905
,290,18003
,291,17887
,292,18061
,293,17912
,294,17828
,295,18017
,296,17802
,297,17955
,298,18015
,299,18007
,300,17843
,301,18148
,302,17958
,303,17952
,304,18205
,305,17729
,306,18230
,307,17809
,308,18127
,309,17650
,310,17889
,311,17742
,312,18271
,313,18044
,314,18303
,315,17853
,316,17995
,317,17892
,318,18170
,319,18282
,320,18082
,321,17863
,322,18131
,323,18000
,324,17842
,325,18048
,326,17836
,327,18310
,328,18134
,329,18443
,330,18012
,331,18383
,332,18166
,333,18296
,334,18192
,335,18034
,336,17838
,337,18307
,338,18112
,339,18169
,340,18156
,341,18062
,342,17784
,343,17856
,344,18214
,345,18150
,346,18246
,347,18459
,348,18329
,349,18094
,350,18413
,351,18117
,352,18161
,353,18085
,354,18149
,355,17873
,356,18357
,357,18065
,358,18060
,359,18205
,360,18192
,361,18236
,362,18243
,363,18032
,364,18146
,365,18106
,366,18100
,367,17906
,368,18091
,369,18379
,370,18171
,371,18365
,372,18194
,373,18215
,374,17827
,375,17923
,376,17864
,377,17724
,378,17938
,379,17764
,380,17651
,381,17853
,382,17543
,383,17647
,384,17971
,385,17674
,386,17685
,387,18241
,388,17880
,389,17717
,390,17904
,391,17556
,392,17795
,393,17800
,394,17782
,395,17768
,396,17983
,397,17379
,398,17843
,399,17821
,400,17755
,401,17820
,402,17284
,403,17588
,404,17578
,405,17604
,406,18089
,407,17670
,408,17536
,409,17582
,410,17248
,411,17592
,412,17421
,413,17275
,414,17339
,415,16724
,416,17026
,417,16810
,418,16872
,419,17071
,420,16777
,421,16923
,422,16985
,423,16912
,424,17033
,425,16795
,426,17026
,427,17215
,428,17125
,429,17341
,430,16966
,431,17087
,432,17084
,433,17421
,434,17347
,435,17382
,436,17480
,437,17176
,438,17177
,439,17109
,440,17251
,441,16967
,442,17219
,443,16780
,444,17426
,445,17000
,446,17275
,447,17219
,448,17238
,449,17095
,450,17202
,451,17325
,452,17264
,453,17301
,454,17437
,455,17316
,456,17337
,457,17200
,458,17311
,459,17495
,460,17455
,461,17140
,462,17515
,463,17172
,464,17424
,465,16983
,466,17354
,467,17475
,468,17271
,469,17340
,470,17636
,471,17666
,472,17606
,473,17462
,474,17604
,475,17694
,476,17553
,477,17834
,478,17517
,479,17619
,480,17593
,481,17524
,482,17484
,483,17520
,484,17286
,485,17577
,486,17388
,487,17476
,488,17136
,489,17379
,490,17183
,491,17058
,492,17024
,493,17296
,494,17288
,495,17170
,496,17185
,497,17049
,498,17387
,499,17342
,500,17323
,501,34637
,503,17763
,504,17439
,505,34669
,507,17307
,508,17227
,509,17423
,510,34778
,512,17139
,513,16959
,514,17238
,515,17052
,516,17166
,517,17273
,518,17158
,519,17296
,520,17287
,521,17427
,522,17535
,523,17521
,524,17442
,525,17629
,526,17577
,527,17625
,528,17641
,529,17885
,530,18173
,531,18079
,532,18117
,533,18253
,534,18240
,535,18008
,536,18177
,537,18120
,538,17895
,539,18001
,540,17876
,541,18084
,542,17684
,543,17907
,544,17776
,545,17677
,546,17859
,547,17636
,548,17432
,549,17660
,550,17503
,551,17185
,552,17351
,553,17062
,554,17199
,555,16873
,556,16772
,557,16710
,558,16344
,559,16445
,560,16207
,561,16213
,562,16083
,563,16093
,564,16024
,565,15801
,566,15394
,567,15458
,568,15382
,569,15355
,570,15203
,571,15667
,572,15324
,573,14997
,574,14985
,575,14741
,576,14560
,577,14459
,578,14269
,579,14427
