"Rowid_","VALUE_","COUNT_"
,0,13753944
,1,3923299
,2,1671624
,3,1237577
,4,1144442
,5,1007032
,6,830991
,7,704575
,8,617591
,9,572049
,10,576332
,11,583754
,12,571047
,13,562597
,14,557262
,15,577270
,16,574999
,17,572279
,18,580956
,19,591469
,20,603751
,21,614628
,22,624447
,23,627473
,24,629961
,25,634161
,26,635814
,27,633979
,28,637731
,29,641654
,30,642150
,31,646216
,32,659101
,33,609064
,34,647723
,35,579509
,36,600860
,37,575121
,38,541350
,39,553765
,40,526129
,41,516533
,42,490650
,43,473042
,44,455672
,45,434638
,46,417281
,47,401103
,48,386276
,49,373901
,50,364765
,51,354221
,52,342511
,53,337197
,54,325761
,55,319291
,56,311208
,57,303143
,58,299187
,59,294584
,60,291159
,61,287002
,62,285986
,63,281588
,64,277814
,65,273620
,66,271038
,67,266347
,68,263798
,69,261738
,70,258817
,71,257761
,72,254868
,73,254921
,74,251945
,75,252022
,76,249240
,77,248802
,78,245874
,79,242589
,80,244368
,81,241351
,82,239553
,83,236172
,84,232305
,85,231832
,86,230434
,87,229496
,88,228286
,89,230773
,90,227615
,91,224950
,92,221146
,93,219730
,94,220313
,95,218975
,96,217910
,97,217801
,98,215302
,99,215530
,100,214538
,101,210522
,102,211957
,103,214013
,104,212033
,105,209984
,106,207099
,107,204781
,108,202974
,109,200607
,110,199982
,111,197345
,112,193628
,113,191621
,114,190607
,115,191163
,116,189255
,117,187667
,118,187732
,119,186253
,120,185384
,121,185567
,122,185917
,123,184903
,124,186939
,125,186639
,126,186143
,127,185100
,128,184668
,129,184810
,130,184062
,131,184761
,132,184553
,133,183790
,134,182948
,135,183916
,136,184188
,137,184614
,138,183726
,139,184425
,140,184692
,141,182788
,142,184568
,143,185154
,144,183188
,145,184012
,146,184115
,147,184268
,148,184544
,149,184905
,150,185104
,151,185289
,152,186110
,153,186225
,154,185448
,155,185064
,156,184596
,157,184792
,158,184611
,159,184101
,160,184942
,161,185333
,162,185719
,163,185611
,164,185806
,165,187149
,166,186289
,167,186345
,168,186560
,169,186513
,170,187518
,171,187596
,172,188293
,173,187258
,174,188274
,175,187683
,176,188709
,177,187996
,178,186734
,179,186963
,180,187809
,181,186369
,182,186624
,183,185467
,184,185073
,185,184278
,186,182695
,187,182219
,188,181331
,189,180847
,190,179562
,191,178426
,192,176925
,193,175354
,194,174982
,195,174671
,196,172499
,197,172281
,198,171159
,199,170595
,200,169369
,201,168332
,202,167216
,203,166201
,204,165528
,205,165954
,206,164440
,207,163241
,208,162305
,209,162420
,210,162117
,211,161328
,212,161232
,213,160780
,214,160136
,215,160357
,216,159513
,217,159533
,218,158234
,219,158830
,220,159330
,221,158243
,222,158194
,223,158415
,224,158927
,225,157931
,226,156805
,227,156933
,228,156524
,229,156386
,230,155829
,231,155154
,232,155678
,233,155163
,234,155899
,235,154094
,236,153469
,237,153274
,238,152711
,239,151549
,240,151640
,241,150361
,242,150267
,243,149149
,244,148961
,245,148304
,246,148012
,247,146236
,248,146405
,249,145070
,250,289150
,252,286383
,254,143214
,255,142353
,256,141753
,257,141438
,258,141571
,259,140422
,260,139872
,261,140336
,262,139419
,263,138755
,264,137971
,265,137263
,266,136750
,267,135778
,268,136367
,269,136524
,270,135987
,271,135384
,272,135020
,273,134462
,274,134481
,275,134944
,276,134578
,277,133741
,278,134246
,279,134396
,280,133815
,281,132483
,282,132635
,283,132754
,284,132354
,285,131911
,286,131988
,287,132340
,288,130828
,289,130853
,290,130336
,291,130317
,292,131131
,293,130876
,294,130634
,295,129851
,296,129889
,297,129768
,298,129686
,299,129128
,300,128677
,301,128210
,302,128733
,303,127856
,304,128248
,305,128758
,306,127761
,307,128163
,308,128319
,309,128557
,310,128089
,311,127125
,312,127382
,313,126955
,314,126522
,315,126844
,316,126277
,317,126614
,318,125642
,319,125909
,320,125431
,321,126041
,322,125481
,323,125443
,324,125549
,325,124877
,326,125513
,327,124967
,328,125594
,329,124616
,330,124747
,331,124761
,332,124167
,333,123879
,334,123454
,335,122844
,336,123644
,337,122821
,338,123103
,339,122193
,340,122691
,341,122210
,342,122452
,343,122981
,344,122132
,345,122456
,346,121609
,347,120864
,348,121226
,349,122430
,350,121130
,351,120942
,352,121029
,353,120996
,354,121088
,355,120740
,356,120496
,357,119851
,358,120085
,359,120403
,360,120272
,361,119477
,362,119210
,363,118721
,364,119223
,365,119197
,366,118613
,367,118447
,368,118043
,369,118074
,370,118482
,371,118398
,372,118046
,373,118110
,374,117406
,375,117957
,376,117748
,377,116886
,378,117357
,379,117142
,380,116724
,381,116862
,382,116956
,383,115167
,384,116217
,385,116782
,386,116509
,387,116483
,388,115620
,389,114877
,390,115233
,391,115191
,392,115309
,393,115744
,394,115020
,395,114254
,396,114850
,397,114206
,398,114876
,399,114269
,400,114250
,401,114730
,402,113460
,403,114190
,404,113884
,405,113591
,406,114375
,407,113772
,408,114328
,409,113979
,410,113516
,411,113955
,412,113526
,413,113582
,414,113480
,415,113423
,416,113650
,417,113856
,418,114236
,419,113582
,420,114209
,421,114744
,422,114455
,423,114613
,424,114715
,425,114710
,426,114939
,427,115048
,428,114550
,429,116067
,430,115584
,431,115121
,432,116094
,433,116090
,434,116583
,435,116863
,436,116519
,437,116219
,438,116661
,439,117325
,440,116835
,441,116023
,442,115716
,443,115914
,444,115559
,445,116666
,446,116148
,447,115741
,448,115735
,449,116176
,450,115179
,451,116198
,452,115073
,453,116043
,454,115861
,455,115447
,456,115720
,457,115020
,458,114944
,459,115425
,460,115095
,461,114846
,462,114635
,463,114191
,464,114958
,465,113569
,466,113775
,467,113443
,468,113356
,469,113462
,470,112475
,471,113593
,472,113949
,473,113661
,474,113581
,475,112961
,476,112897
,477,112432
,478,113581
,479,113313
,480,112416
,481,111713
,482,112001
,483,111345
,484,111432
,485,111417
,486,110460
,487,110516
,488,109986
,489,109348
,490,108481
,491,108068
,492,107850
,493,108357
,494,107749
,495,106988
,496,107712
,497,106215
,498,106411
,499,106460
,500,105965
,501,211733
,503,105141
,504,105541
,505,210110
,507,104395
,508,104776
,509,104486
,510,207691
,512,103559
,513,103185
,514,103372
,515,102623
,516,101980
,517,102997
,518,102514
,519,102019
,520,101894
,521,102350
,522,102705
,523,101328
,524,102411
,525,101980
,526,101852
,527,101671
,528,101135
,529,101489
,530,102042
,531,101913
,532,100892
,533,101358
,534,100985
,535,100753
,536,101569
,537,100888
,538,100865
,539,100947
,540,101857
,541,100703
,542,100905
,543,101927
,544,101478
,545,100707
,546,100622
,547,99543
,548,100223
,549,99672
,550,99946
,551,100563
,552,100712
,553,99391
,554,100251
,555,99912
,556,100171
,557,100969
,558,100570
,559,99861
,560,99927
,561,99222
,562,98885
,563,98197
,564,98841
,565,99132
,566,98521
,567,97920
,568,97961
,569,97459
,570,96684
,571,96474
,572,96552
,573,95653
,574,95709
,575,94641
,576,94351
,577,94292
,578,93451
,579,93192
,580,92381
,581,92648
,582,93062
,583,92978
,584,93048
,585,92547
,586,92434
,587,92689
,588,92312
,589,93274
,590,92629
,591,92797
,592,92394
,593,92317
,594,91202
,595,91258
,596,91554
,597,91961
,598,93340
,599,93411
,600,94492
,601,94516
,602,94376
,603,93885
,604,94666
,605,95566
,606,97319
,607,98295
,608,99487
,609,99921
,610,99625
,611,100376
,612,99501
,613,100177
,614,100728
,615,100661
,616,100887
,617,102319
,618,103016
,619,104064
,620,104190
,621,105119
,622,105931
,623,106351
,624,106808
,625,107507
,626,107645
,627,108394
,628,108127
,629,107536
,630,107537
,631,108961
,632,109111
,633,109774
,634,108975
,635,108659
,636,109126
,637,108186
,638,108628
,639,107767
,640,107858
,641,106670
,642,105883
,643,105443
,644,104432
,645,105154
,646,105419
,647,105572
,648,106371
,649,107216
,650,107985
,651,107449
,652,107731
,653,106852
,654,107654
,655,106467
,656,106842
,657,106601
,658,106185
,659,105825
,660,104660
,661,104461
,662,103387
,663,102944
,664,102222
,665,102063
,666,102251
,667,102347
,668,102270
,669,101763
,670,101665
,671,100118
,672,100648
,673,100477
,674,100005
,675,99896
,676,99115
,677,97370
,678,95788
,679,93974
,680,92369
,681,91006
,682,88901
,683,87693
,684,85983
,685,84943
,686,83382
,687,81760
,688,80641
,689,79409
,690,77757
,691,76213
,692,74948
,693,74043
,694,72877
,695,72234
,696,71089
,697,69906
,698,70089
,699,69620
