"Rowid_","VALUE_","COUNT_"
,0,154197
,1,93090
,2,63236
,3,49299
,4,44456
,5,41831
,6,38823
,7,35422
,8,34758
,9,34687
,10,33712
,11,34125
,12,33368
,13,33788
,14,34332
,15,33736
,16,33348
,17,32620
,18,32567
,19,31576
,20,31265
,21,31830
,22,31828
,23,31190
,24,31358
,25,31397
,26,31828
,27,32240
,28,31986
,29,33026
,30,33307
,31,33367
,32,34084
,33,34042
,34,34746
,35,34830
,36,35410
,37,35836
,38,35430
,39,35805
,40,36281
,41,35575
,42,36113
,43,36437
,44,36743
,45,36170
,46,36052
,47,36371
,48,36187
,49,36000
,50,35796
,51,35643
,52,35992
,53,35616
,54,35689
,55,36207
,56,35531
,57,36282
,58,35848
,59,35015
,60,35512
,61,36102
,62,35756
,63,35563
,64,35396
,65,35430
,66,35790
,67,36004
,68,35887
,69,36295
,70,36238
,71,35755
,72,35648
,73,35655
,74,36031
,75,35534
,76,34852
,77,35028
,78,34493
,79,34497
,80,33943
,81,34101
,82,34117
,83,33496
,84,33810
,85,33261
,86,33356
,87,33150
,88,32706
,89,32412
,90,32350
,91,32350
,92,31644
,93,32141
,94,31951
,95,31594
,96,31682
,97,31949
,98,31257
,99,32034
,100,31503
,101,31347
,102,31631
,103,31387
,104,31244
,105,31396
,106,31446
,107,31117
,108,31031
,109,31184
,110,31293
,111,30923
,112,30971
,113,30992
,114,30821
,115,30455
,116,30737
,117,30146
,118,30214
,119,30242
,120,30030
,121,30160
,122,29964
,123,30254
,124,29803
,125,29887
,126,29836
,127,29900
,128,29744
,129,29830
,130,30095
,131,29936
,132,30080
,133,29978
,134,29849
,135,30121
,136,29978
,137,29841
,138,29691
,139,29858
,140,30041
,141,30123
,142,30372
,143,29910
,144,30152
,145,30620
,146,30493
,147,30053
,148,30017
,149,30405
,150,30614
,151,30421
,152,30981
,153,30751
,154,30546
,155,30659
,156,30151
,157,30381
,158,30073
,159,30449
,160,30840
,161,30195
,162,30285
,163,29714
,164,30013
,165,30028
,166,29267
,167,29856
,168,29327
,169,30121
,170,30387
,171,30097
,172,30169
,173,29787
,174,29372
,175,29634
,176,28836
,177,28978
,178,28892
,179,28699
,180,28543
,181,28449
,182,28402
,183,28132
,184,28239
,185,28479
,186,28051
,187,28395
,188,28050
,189,28072
,190,28546
,191,28122
,192,28456
,193,28342
,194,28354
,195,28690
,196,28404
,197,28519
,198,28618
,199,28650
,200,29106
,201,29270
,202,28847
,203,28410
,204,28390
,205,28968
,206,28611
,207,28766
,208,28633
,209,29086
,210,29012
,211,29253
,212,29525
,213,29124
,214,28942
,215,28653
,216,29231
,217,29411
,218,29577
,219,29817
,220,30466
,221,30769
,222,31153
,223,31321
,224,31733
,225,32487
,226,32423
,227,32561
,228,33193
,229,33948
,230,34758
,231,35351
,232,36042
,233,36354
,234,35679
,235,34515
,236,34169
,237,34301
,238,33300
,239,33403
,240,33108
,241,33067
,242,33502
,243,33840
,244,33864
,245,34334
,246,33872
,247,34210
,248,34823
,249,35455
,250,73347
,252,76188
,254,38193
,255,38173
,256,37591
,257,36274
,258,36423
,259,35836
,260,35390
,261,34706
,262,34184
,263,34119
,264,34212
,265,34092
,266,33746
,267,34421
,268,33745
,269,33606
,270,33436
,271,33546
,272,33242
,273,33418
,274,33779
,275,33950
,276,33398
,277,33899
,278,33481
,279,33651
,280,33389
,281,33974
,282,34466
,283,34192
,284,34181
,285,34606
,286,34683
,287,34529
,288,34458
,289,34639
,290,34652
,291,34488
,292,34479
,293,34715
,294,34335
,295,34118
,296,34798
,297,34382
,298,33908
,299,33604
,300,33213
,301,32828
,302,32414
,303,31737
,304,31990
,305,31796
,306,31365
,307,31145
,308,31262
,309,30680
,310,30362
,311,29949
,312,29671
,313,29694
,314,28734
,315,28649
,316,28303
,317,28307
,318,28333
,319,28099
,320,28062
,321,28364
,322,28024
,323,27372
,324,27020
,325,26510
,326,26216
,327,26486
,328,26265
,329,25963
,330,25686
,331,25089
,332,24845
,333,24772
,334,24518
,335,24636
,336,24568
,337,24969
,338,24751
,339,24804
,340,24536
,341,24077
,342,24002
,343,23939
,344,24102
,345,23854
,346,23805
,347,24031
,348,24527
,349,24746
,350,25006
,351,24884
,352,25294
,353,25188
,354,25339
,355,24957
,356,25152
,357,24866
,358,24753
,359,24558
,360,25029
,361,24747
,362,24784
,363,24837
,364,24888
,365,24835
,366,24902
,367,24990
,368,24739
,369,24697
,370,24709
,371,24928
,372,24939
,373,24808
,374,25343
,375,25398
,376,25293
,377,25614
,378,25317
,379,25547
,380,25335
,381,25739
,382,25871
,383,25726
,384,25618
,385,26377
,386,25967
,387,26265
,388,26779
,389,26523
,390,27287
,391,26416
,392,26501
,393,26065
,394,25707
,395,25453
,396,25419
,397,25030
,398,24559
,399,24868
,400,24930
,401,24349
,402,24813
,403,24457
,404,24173
,405,23708
,406,23421
,407,22950
,408,23253
,409,22974
,410,23154
,411,22715
,412,22688
,413,22290
,414,22394
,415,22867
,416,22221
,417,22548
,418,22382
,419,22388
,420,22168
,421,22230
,422,22278
,423,22376
,424,22449
,425,22024
,426,22173
,427,22041
,428,21787
,429,21762
,430,21451
,431,21762
,432,21905
,433,21396
,434,21042
,435,20928
,436,21030
,437,20942
,438,20728
,439,20775
,440,20775
,441,20749
,442,20210
,443,20424
,444,20253
,445,20084
,446,20247
,447,20156
,448,20059
,449,19977
,450,19993
,451,20101
,452,20367
,453,20144
,454,20266
,455,19826
,456,19932
,457,19650
,458,19740
,459,19622
,460,19552
,461,19646
,462,19137
,463,19082
,464,19133
,465,18901
,466,18880
,467,18791
,468,19088
,469,18861
,470,18674
,471,18889
,472,18836
,473,18705
,474,18778
,475,18697
,476,18477
,477,18433
,478,18415
,479,18516
,480,18316
,481,18406
,482,18264
,483,18407
,484,18367
,485,18125
,486,18211
,487,18172
,488,18265
,489,18076
,490,18025
,491,18029
,492,17805
,493,18133
,494,17964
,495,17812
,496,17846
,497,17772
,498,17580
,499,17577
,500,17587
,501,34992
,503,17615
,504,17516
,505,35038
,507,17052
,508,17152
,509,16847
,510,34665
,512,17223
,513,17006
,514,16614
,515,17009
,516,16730
,517,16698
,518,16665
,519,16491
,520,16335
,521,16504
,522,16234
,523,16358
,524,15964
,525,16244
,526,16153
,527,16153
,528,15967
,529,16033
,530,16100
,531,15973
,532,16081
,533,16142
,534,15759
,535,15768
,536,15820
,537,16091
,538,15817
,539,15927
,540,15842
,541,15933
,542,16119
,543,15641
,544,15684
,545,15635
,546,15227
,547,15500
,548,15436
,549,15771
,550,15859
,551,15385
,552,15152
,553,15498
,554,15550
,555,15349
,556,15377
,557,15433
,558,15253
,559,15163
,560,15336
,561,14886
,562,15105
,563,15078
,564,15175
,565,15055
,566,15065
,567,15151
,568,15025
,569,14888
,570,15150
,571,15139
,572,14899
,573,14978
,574,15153
,575,14996
,576,14916
,577,14755
,578,14920
,579,14742
,580,14771
,581,14764
,582,14982
,583,14717
,584,14770
,585,14856
,586,14945
,587,15099
,588,14701
,589,14732
,590,14758
,591,14697
,592,14837
,593,14796
,594,14612
,595,14928
,596,14703
,597,14608
,598,14804
,599,14915
,600,14623
,601,14606
,602,14906
,603,14796
,604,14859
,605,14739
,606,14840
,607,14610
,608,14509
,609,14628
,610,14852
,611,14754
,612,14721
,613,14613
,614,14768
,615,14583
,616,14717
,617,14524
,618,14705
,619,14587
,620,14536
,621,14635
,622,14706
,623,14986
,624,14558
,625,14601
,626,14957
,627,14666
,628,14853
,629,14903
,630,15023
,631,14870
,632,14946
,633,14815
,634,14596
,635,14709
,636,14900
,637,14993
,638,14751
,639,14879
,640,14802
,641,15010
,642,14782
,643,14980
,644,14986
,645,15334
,646,14969
,647,14901
,648,15298
,649,15208
,650,14974
,651,15065
,652,14973
,653,14992
,654,15026
,655,14910
,656,14969
,657,15436
,658,15273
,659,15202
,660,15225
,661,15219
,662,15274
,663,15249
,664,15494
,665,15599
,666,15391
,667,15301
,668,15464
,669,15375
,670,15601
,671,15461
,672,15398
,673,15244
,674,15456
,675,15448
,676,15626
,677,15608
,678,15540
,679,15635
,680,15620
,681,15804
,682,16147
,683,16195
,684,16080
,685,16060
,686,15907
,687,15849
,688,16016
,689,16132
,690,16151
,691,16121
,692,16293
,693,16566
,694,16643
,695,16639
,696,16697
,697,16432
,698,16897
,699,17288
,700,16916
,701,17162
,702,17211
,703,17208
,704,17215
,705,17089
,706,17501
,707,17684
,708,17584
,709,18059
,710,17675
,711,17769
,712,18508
,713,18122
,714,18377
,715,18251
,716,18569
,717,18478
,718,18854
,719,18822
,720,18918
,721,19127
,722,19413
,723,19494
,724,19417
,725,19693
,726,20042
,727,20282
,728,20156
,729,20594
,730,20790
,731,20973
,732,20894
,733,21028
,734,21300
,735,21601
,736,21571
,737,21768
,738,22165
,739,22251
,740,21965
,741,22851
,742,22505
,743,22871
,744,22775
,745,23460
,746,23604
,747,23746
,748,23996
,749,24158
,750,24633
,751,24630
,752,24471
,753,25136
,754,24996
,755,25509
,756,25511
,757,26128
,758,25724
,759,26278
,760,26736
,761,27134
,762,27517
,763,27511
,764,28039
,765,28443
,766,28692
,767,28975
,768,29261
,769,29153
,770,29995
,771,29955
,772,30271
,773,30781
,774,30935
,775,31009
,776,31057
,777,31127
,778,31406
,779,32139
,780,32092
,781,32174
,782,33117
,783,32799
,784,32930
,785,33468
,786,34358
,787,34996
,788,34895
,789,35407
,790,35009
,791,35413
,792,35294
,793,35407
,794,35640
,795,35484
,796,36037
,797,36019
,798,36266
,799,36118
,800,36303
,801,36564
,802,36649
,803,36499
,804,36883
,805,36393
,806,36492
,807,36504
,808,36643
,809,36161
,810,36324
,811,36215
,812,36282
,813,36315
,814,36455
,815,36313
,816,36505
,817,36455
,818,36189
,819,36830
,820,36939
,821,37041
,822,37189
,823,36988
,824,37268
,825,37100
,826,37011
,827,37392
,828,37352
,829,37280
,830,37007
,831,36727
,832,36867
,833,36891
,834,36318
,835,36618
,836,36264
,837,36559
,838,36561
,839,36378
,840,36733
,841,36217
,842,36267
,843,35856
,844,35463
,845,35424
,846,35651
,847,35506
,848,35712
,849,35408
,850,35245
,851,35177
,852,35706
,853,35814
,854,35292
,855,35223
,856,35344
,857,35459
,858,35682
,859,35181
,860,34737
,861,33812
,862,33190
,863,33010
,864,32495
,865,32155
,866,31591
,867,31235
,868,30909
,869,30856
,870,30537
,871,30374
,872,30409
,873,30224
,874,29765
,875,29999
,876,29206
,877,28768
,878,28326
,879,28035
,880,28032
,881,27165
,882,26914
,883,26363
,884,25767
,885,25545
,886,24590
,887,24003
,888,23585
,889,23665
,890,22784
,891,22276
,892,21878
,893,21424
,894,20913
,895,20305
,896,19344
,897,18982
,898,18340
,899,18103
,900,17394
,901,16824
,902,16385
,903,16021
,904,15192
,905,14939
,906,14228
,907,14199
,908,13997
,909,13498
,910,13242
,911,12837
,912,12829
,913,12524
,914,12010
,915,11935
,916,11834
,917,11468
,918,11451
,919,11423
,920,11389
,921,11324
,922,11375
,923,11420
,924,11126
,925,11198
,926,11104
,927,11018
,928,11197
,929,11244
,930,11140
,931,11053
,932,10943
,933,10967
,934,11215
,935,10941
,936,10901
,937,10647
,938,10571
,939,10552
,940,10484
,941,10645
,942,10859
,943,11019
,944,11185
,945,11224
,946,11535
,947,11845
,948,11954
,949,12389
,950,12503
,951,12876
,952,13230
,953,13708
,954,13668
,955,14038
,956,14559
,957,14874
,958,15367
,959,15718
,960,16278
,961,16709
,962,17171
,963,18013
,964,18557
,965,18933
,966,19741
,967,20504
,968,21505
,969,22077
,970,22929
,971,23608
,972,24860
,973,25796
,974,27143
,975,28059
,976,29702
,977,30588
,978,31933
,979,33592
,980,34941
,981,36725
,982,38200
,983,40606
,984,43279
,985,46090
,986,49443
,987,52594
,988,55277
,989,58102
,990,63155
,991,66788
,992,72582
,993,82380
,994,97866
,995,105468
,996,140529
,997,173721
,998,263555
,999,477727
,1000,371774
