"Rowid_","VALUE_","COUNT_"
,0,1320467
,1,979956
,2,827480
,3,751821
,4,631754
,5,555887
,6,495429
,7,453722
,8,426640
,9,405213
,10,388015
,11,377130
,12,361982
,13,351998
,14,342347
,15,333344
,16,324729
,17,313389
,18,304753
,19,295524
,20,286361
,21,277069
,22,270822
,23,264050
,24,259322
,25,254652
,26,252285
,27,249723
,28,247290
,29,245382
,30,243702
,31,241182
,32,240589
,33,239708
,34,239080
,35,238485
,36,236942
,37,236827
,38,236999
,39,234671
,40,235630
,41,233290
,42,234453
,43,233343
,44,233539
,45,235475
,46,235216
,47,237888
,48,238752
,49,239877
,50,242699
,51,244042
,52,246128
,53,246527
,54,247578
,55,251944
,56,252433
,57,254671
,58,258343
,59,260469
,60,262581
,61,264909
,62,267492
,63,269194
,64,271581
,65,276193
,66,279287
,67,284590
,68,290473
,69,293918
,70,300276
,71,305016
,72,311300
,73,313708
,74,314905
,75,314791
,76,314545
,77,314102
,78,313019
,79,311027
,80,312984
,81,312153
,82,313611
,83,312695
,84,311823
,85,312457
,86,310478
,87,308534
,88,308004
,89,305990
,90,307552
,91,303002
,92,304600
,93,302278
,94,301204
,95,301821
,96,299412
,97,299981
,98,298036
,99,296045
,100,296391
,101,292992
,102,292517
,103,289341
,104,287228
,105,285975
,106,282850
,107,283033
,108,280198
,109,277168
,110,277515
,111,273675
,112,274249
,113,273130
,114,270165
,115,269665
,116,267659
,117,267249
,118,264396
,119,262647
,120,262704
,121,261486
,122,259443
,123,258621
,124,257208
,125,256294
,126,253774
,127,255082
,128,253511
,129,252080
,130,251197
,131,249569
,132,248201
,133,247017
,134,247438
,135,246756
,136,244317
,137,244696
,138,243457
,139,241894
,140,240908
,141,239401
,142,239031
,143,237295
,144,235810
,145,234773
,146,234365
,147,232978
,148,232127
,149,231307
,150,228542
,151,228331
,152,227414
,153,224719
,154,222968
,155,221833
,156,220658
,157,219464
,158,219194
,159,217698
,160,216190
,161,216496
,162,215280
,163,215739
,164,213920
,165,214848
,166,213399
,167,213100
,168,213329
,169,212524
,170,213465
,171,212834
,172,212402
,173,210445
,174,208479
,175,209825
,176,208262
,177,206328
,178,207342
,179,206660
,180,205780
,181,204319
,182,206345
,183,204717
,184,203231
,185,201258
,186,199064
,187,196642
,188,195667
,189,194901
,190,194569
,191,192324
,192,193867
,193,194862
,194,192650
,195,192183
,196,193811
,197,193733
,198,196014
,199,196272
,200,196674
,201,197200
,202,196452
,203,200623
,204,198118
,205,199571
,206,201419
,207,194900
,208,197668
,209,190347
,210,190713
,211,190076
,212,189867
,213,189394
,214,188149
,215,190884
,216,191176
,217,192473
,218,191860
,219,193531
,220,193219
,221,192937
,222,192785
,223,193336
,224,194472
,225,194811
,226,195495
,227,194568
,228,196442
,229,197709
,230,199960
,231,199878
,232,201356
,233,202878
,234,204231
,235,204845
,236,202207
,237,203632
,238,203856
,239,202434
,240,201354
,241,200309
,242,200567
,243,199005
,244,198433
,245,199488
,246,201826
,247,201952
,248,203573
,249,202200
,250,404012
,252,412451
,254,207780
,255,207764
,256,203873
,257,203225
,258,202026
,259,200919
,260,200471
,261,200121
,262,200792
,263,199760
,264,200135
,265,201671
,266,201609
,267,200897
,268,201125
,269,201318
,270,201826
,271,201303
,272,200188
,273,200053
,274,199284
,275,199493
,276,197011
,277,197348
,278,197435
,279,199027
,280,198338
,281,198059
,282,198730
,283,198892
,284,199932
,285,200642
,286,199727
,287,197956
,288,197167
,289,196042
,290,193717
,291,192987
,292,192519
,293,192337
,294,192411
,295,191931
,296,194319
,297,195319
,298,195101
,299,194951
,300,196620
,301,195615
,302,197363
,303,194280
,304,193958
,305,193806
,306,187107
,307,187110
,308,185121
,309,183462
,310,184261
,311,183600
,312,184854
,313,184625
,314,184363
,315,185456
,316,184705
,317,184875
,318,185053
,319,182558
,320,182582
,321,181843
,322,180786
,323,179611
,324,178387
,325,178252
,326,176695
,327,176086
,328,175742
,329,174475
,330,174089
,331,173147
,332,171372
,333,170440
,334,169807
,335,168563
,336,168553
,337,167864
,338,166430
,339,163452
,340,160787
,341,159876
,342,158835
,343,158932
,344,160469
,345,160817
,346,163243
