"Rowid_","VALUE_","COUNT_"
,0,436419
,1,504146
,2,300928
,3,223640
,4,210528
,5,187751
,6,189614
,7,179493
,8,169896
,9,165547
,10,158713
,11,152885
,12,145919
,13,140607
,14,134942
,15,128744
,16,124411
,17,120608
,18,115923
,19,112374
,20,109259
,21,105682
,22,103301
,23,101158
,24,99023
,25,95767
,26,93957
,27,91165
,28,90053
,29,87160
,30,84035
,31,82336
,32,81782
,33,81216
,34,81069
,35,79653
,36,79316
,37,78447
,38,78590
,39,85607
,40,80616
,41,75699
,42,73214
,43,70036
,44,68207
,45,66515
,46,66091
,47,65259
,48,64673
,49,64360
,50,64329
,51,64204
,52,64039
,53,64282
,54,63976
,55,63560
,56,63325
,57,63427
,58,64777
,59,64479
,60,65912
,61,65839
,62,65338
,63,65426
,64,67268
,65,72581
,66,79773
,67,86831
,68,87208
,69,80303
,70,77360
,71,75422
,72,75420
,73,76945
,74,80840
,75,92809
,76,107893
,77,119818
,78,126917
,79,125979
,80,118392
,81,108637
,82,101295
,83,95836
,84,87774
,85,79959
,86,70947
,87,64993
,88,63375
,89,57778
,90,55229
,91,55565
,92,55394
,93,55859
,94,55786
,95,56588
,96,56311
,97,56381
,98,56676
,99,56940
,100,57158
,101,58177
,102,57573
,103,58309
,104,58657
,105,59007
,106,59021
,107,59969
,108,60007
,109,60172
,110,60415
,111,61018
,112,61039
,113,60942
,114,60981
,115,62110
,116,61992
,117,61681
,118,61474
,119,61187
,120,61036
,121,61926
,122,62169
,123,61454
,124,62749
,125,62940
,126,63681
,127,63984
,128,63787
,129,63674
,130,63738
,131,63544
,132,63589
,133,63478
,134,63484
,135,63089
,136,62845
,137,62843
,138,63147
,139,63496
,140,63750
,141,63262
,142,62899
,143,63022
,144,62900
,145,62594
,146,62237
,147,62086
,148,62045
,149,62650
,150,62496
,151,63140
,152,62071
,153,62826
,154,62254
,155,62191
,156,62643
,157,62660
,158,62286
,159,61697
,160,61610
,161,61675
,162,60362
,163,60150
,164,60025
,165,59434
,166,59118
,167,59035
,168,58103
,169,58331
,170,57849
,171,57250
,172,57926
,173,57612
,174,57972
,175,57600
,176,57461
,177,56988
,178,56840
,179,56464
,180,56833
,181,56408
,182,55733
,183,55320
,184,55357
,185,54562
,186,54376
,187,53678
,188,53027
,189,52772
,190,52018
,191,52311
,192,51545
,193,50958
,194,50535
,195,50010
,196,49511
,197,49069
,198,48588
,199,48409
,200,47796
,201,47468
,202,47225
,203,46614
,204,45755
,205,45781
,206,45840
,207,44670
,208,44490
,209,43795
,210,43662
,211,43817
,212,42839
,213,42479
,214,42476
,215,41366
,216,41654
,217,41450
,218,40770
,219,40824
,220,40380
,221,39748
,222,39407
,223,39509
,224,39321
,225,38817
,226,38748
,227,37962
,228,37797
,229,37606
,230,36894
,231,36718
,232,36436
,233,36099
,234,36114
,235,35161
,236,35340
,237,34853
,238,35042
,239,34639
,240,34099
,241,34312
