"Rowid_","VALUE_","COUNT_"
,0,1170334
,1,1510525
,2,1153639
,3,1027403
,4,1054004
,5,919048
,6,988829
,7,1002618
,8,993578
,9,988558
,10,944936
,11,898264
,12,866938
,13,827244
,14,786669
,15,756791
,16,727891
,17,703564
,18,677160
,19,654716
,20,637420
,21,622651
,22,611659
,23,603659
,24,596502
,25,587777
,26,586044
,27,583095
,28,581631
,29,580121
,30,578954
,31,577501
,32,574323
,33,569663
,34,564393
,35,561298
,36,562251
,37,565354
,38,566726
,39,568653
,40,567831
,41,569019
,42,568009
,43,567008
,44,566982
,45,568233
,46,577938
,47,584177
,48,587828
,49,591065
,50,588114
,51,586649
,52,583813
,53,582735
,54,578754
,55,576887
,56,576506
,57,571066
,58,564976
,59,555092
,60,548459
,61,545837
,62,539206
,63,533630
,64,535479
,65,542920
,66,559127
,67,572161
,68,579745
,69,600036
,70,615421
,71,635441
,72,645428
,73,658076
,74,672445
,75,687113
,76,677132
,77,655188
,78,638066
,79,625492
,80,610290
,81,597353
,82,582947
,83,556043
,84,526951
,85,492144
,86,468354
,87,446352
,88,423725
,89,402500
,90,390206
,91,382287
,92,374753
,93,371218
,94,365916
,95,361276
,96,358877
,97,355472
,98,354974
,99,350574
,100,346994
,101,344304
,102,341850
,103,340087
,104,337853
,105,335927
,106,334638
,107,332199
,108,330907
,109,329836
,110,328971
,111,328013
,112,327059
,113,324102
,114,323938
,115,321879
,116,322665
,117,320863
,118,320395
,119,318719
,120,317430
,121,319097
,122,317447
,123,316987
,124,316943
,125,313400
,126,312655
,127,312029
,128,312055
,129,311163
,130,307105
,131,306806
,132,305105
,133,302973
,134,300970
,135,298521
,136,297340
,137,296516
,138,293571
,139,292335
,140,290977
,141,289210
,142,286299
,143,286760
,144,284506
,145,282019
,146,280372
,147,278855
,148,276224
,149,274435
,150,272502
,151,272366
,152,269725
,153,268718
,154,265787
,155,265389
,156,265386
,157,263219
,158,262043
,159,260129
,160,258141
,161,257247
,162,254981
,163,254830
,164,252799
,165,251057
,166,250665
,167,248861
,168,247643
,169,246189
,170,244903
,171,243379
,172,241293
,173,240211
,174,239644
,175,236863
,176,235670
,177,234903
,178,233192
,179,233048
,180,230407
,181,229705
,182,228018
,183,226607
,184,224725
,185,223170
,186,221983
,187,220342
,188,219335
,189,218992
,190,216474
,191,216587
,192,213739
,193,213332
,194,211487
,195,211224
,196,210197
,197,209297
,198,207783
,199,206688
,200,204577
,201,204710
,202,203189
,203,202173
,204,201457
,205,200058
,206,199091
,207,197743
,208,195807
,209,195411
,210,194300
,211,193858
,212,191629
,213,190646
,214,189430
,215,188568
,216,188496
,217,186417
,218,185262
,219,184090
,220,182796
,221,183356
,222,181561
,223,180582
,224,179769
,225,178480
,226,178308
,227,176662
,228,175797
,229,174733
,230,173088
,231,172433
,232,171348
,233,171364
,234,169386
,235,168743
,236,168832
,237,166160
,238,165944
,239,165266
,240,163206
,241,163406
,242,160886
,243,161921
,244,159765
,245,158851
,246,157895
,247,156538
,248,156121
,249,154949
,250,307758
,252,304454
,254,151925
,255,149659
,256,149237
,257,147854
,258,147006
,259,147294
,260,145668
,261,145203
,262,144016
,263,143791
,264,143428
,265,142094
,266,141175
,267,140252
,268,140431
,269,139450
,270,137719
,271,137817
,272,137021
,273,136796
,274,135855
,275,135337
,276,133912
,277,133355
,278,133279
,279,132362
,280,131546
,281,131557
,282,130167
,283,129608
,284,129939
,285,128965
,286,128748
,287,127806
,288,126957
,289,127387
