"Rowid_","VALUE_","COUNT_"
,0,24719832
,1,1396
,2,454
,3,60955
,4,528936
,5,331693
,6,230877
,7,170321
,8,129826
,9,103205
,10,84116
,11,68979
,12,57283
,13,48900
,14,42429
,15,37037
,16,32389
,17,28980
,18,26284
,19,23256
,20,21513
,21,18992
,22,16928
,23,15468
,24,13648
,25,12276
,26,11337
,27,10892
,28,9774
,29,8848
,30,8211
,31,7805
,32,7240
,33,6785
,34,6389
,35,6143
,36,5905
,37,5542
,38,5318
,39,4987
,40,4609
,41,4429
,42,4228
,43,4172
,44,4067
,45,3853
,46,3726
,47,3526
,48,3445
,49,3326
,50,3228
,51,3074
,52,2874
,53,2941
,54,2812
,55,2618
,56,2614
,57,2406
,58,2393
,59,2390
,60,2166
,61,2144
,62,2086
,63,2053
,64,1920
,65,1947
,66,1894
,67,1708
,68,1758
,69,1755
,70,1812
,71,1691
,72,1591
,73,1628
,74,1616
,75,1613
,76,1494
,77,1481
,78,1423
,79,1428
,80,1464
,81,1312
,82,1323
,83,1265
,84,1231
,85,1203
,86,1233
,87,1201
,88,1186
,89,1142
,90,1114
,91,1087
,92,1058
,93,1109
,94,1049
,95,1076
,96,1052
,97,1037
,98,1012
,99,968
,100,1027
,101,865
,102,883
,103,870
,104,929
,105,795
,106,864
,107,760
,108,778
,109,789
,110,844
,111,703
,112,727
,113,709
,114,744
,115,673
,116,700
,117,709
,118,688
,119,688
,120,681
,121,721
,122,687
,123,634
,124,614
,125,616
,126,623
,127,615
,128,585
,129,643
,130,527
,131,621
,132,533
,133,547
,134,525
,135,591
,136,532
,137,542
,138,512
,139,515
,140,506
,141,522
,142,566
,143,473
,144,455
,145,449
,146,495
,147,483
,148,468
,149,415
,150,419
,151,426
,152,472
,153,458
,154,398
,155,433
,156,397
,157,416
,158,423
,159,387
,160,395
,161,379
,162,402
,163,419
,164,397
,165,359
,166,379
,167,359
,168,382
,169,384
,170,375
,171,332
,172,333
,173,326
,174,348
,175,321
