"Rowid_","VALUE_","COUNT_"
,0,126322734
,1,7066
,2,4847
,3,645491
,4,5074427
,5,3202953
,6,2175892
,7,1578195
,8,1198360
,9,942673
,10,766299
,11,634930
,12,536366
,13,458612
,14,399113
,15,349059
,16,307895
,17,274194
,18,243972
,19,220943
,20,201527
,21,182504
,22,166393
,23,153268
,24,140273
,25,128608
,26,119942
,27,113073
,28,105642
,29,99159
,30,93054
,31,88002
,32,83418
,33,78423
,34,74570
,35,70813
,36,66691
,37,63998
,38,60938
,39,58227
,40,55524
,41,54144
,42,51843
,43,48776
,44,47303
,45,46093
,46,43490
,47,41523
,48,40582
,49,39054
,50,37891
,51,36325
,52,35588
,53,34256
,54,33023
,55,32128
,56,31179
,57,30155
,58,28833
,59,28640
,60,27332
,61,26800
,62,26325
,63,25455
,64,24800
,65,23856
,66,23222
,67,22517
,68,21957
,69,21642
,70,20818
,71,20504
,72,20043
,73,19440
,74,19192
,75,18713
,76,18146
,77,17782
,78,17477
,79,16966
,80,16549
,81,16060
,82,15442
,83,14848
,84,14643
,85,14114
,86,13812
,87,13374
,88,13060
,89,12936
,90,12549
,91,12363
,92,11819
,93,11724
,94,11504
,95,11456
,96,11123
,97,10985
,98,10516
,99,10419
,100,10280
,101,10073
,102,9853
,103,9649
,104,9493
,105,9267
,106,8973
,107,9143
,108,8742
,109,8596
,110,8409
,111,8208
,112,7880
,113,7847
,114,7781
,115,7489
,116,7348
,117,7220
,118,7251
,119,7274
,120,7092
,121,6673
,122,6615
,123,6533
,124,6431
,125,6250
,126,6288
,127,6343
,128,6102
,129,5918
,130,5816
,131,5702
,132,5458
,133,5384
,134,5468
,135,5420
,136,5293
,137,5285
,138,5106
,139,4949
,140,4880
,141,4973
,142,4732
,143,4681
,144,4603
,145,4575
,146,4544
,147,4473
,148,4534
,149,4317
,150,4216
,151,4193
,152,4220
,153,4215
,154,4176
,155,4044
,156,3944
,157,3844
,158,3911
,159,3689
,160,3823
,161,3653
,162,3659
,163,3546
,164,3593
,165,3529
,166,3410
,167,3561
,168,3421
,169,3332
,170,3417
,171,3235
,172,3366
,173,3299
,174,3210
,175,3142
,176,3150
,177,3107
,178,3128
